user,latitude,longitude,date,day_of_week,hour,categoria,timestamp
User_312,-15.783997,-48.121575,2018-07-11,Monday,20,car_rental,1531177493623
User_3505,-16.756967,-49.256423,2018-07-11,Monday,21,store,1531181602180
User_919,-27.591693,-48.558875,2018-07-11,Monday,17,store,1531168945300
User_1841,-12.905039,-38.397563,2018-07-11,Monday,21,store,1531182922102
User_5634,-21.198454,-47.815331,2018-07-10,Monday,21,pet_store,1531183539042
User_230,-23.084662,-46.976411,2018-07-11,Monday,21,shopping_mall,1531180857256
User_4511,-27.615753,-48.524804,2018-07-12,Monday,21,restaurant,1531180978670
User_1489,-7.178358,-34.868776,2018-07-11,Monday,21,lodging,1531182794231
User_4574,-23.428541,-46.482996,2018-07-12,Monday,21,doctor,1531183031346
User_4408,2.81441,-60.75333,2018-07-12,Monday,19,restaurant,1531179199356
User_3402,-3.119051,-60.005268,2018-07-12,Monday,20,hair_care,1531183823943
User_4968,-23.587261,-48.044039,2018-07-12,Monday,19,bakery,1531176394483
User_3851,-22.733099,-43.467166,2018-07-12,Monday,21,university,1531184076513
User_1085,-23.458725,-47.464516,2018-07-12,Monday,22,lodging,1531184466779
User_1210,-25.350762,-49.212467,2018-07-12,Tuesday,6,doctor,1531214545442
User_5963,-25.411112,-49.349583,2018-07-12,Tuesday,19,furniture_store,1531261073212
User_4408,-23.026014,-45.55422,2018-07-12,Tuesday,9,school,1531224896263
User_3118,-26.308303,-48.837196,2018-07-12,Monday,20,storage,1531180734224
User_2911,-21.631839,-41.019794,2018-07-12,Monday,10,well_being,1530539983919
User_3212,-22.817798,-43.357674,2018-07-12,Tuesday,20,bar,1531265098326
User_1489,-29.713549,-53.812915,2018-07-12,Tuesday,19,restaurant,1531260246998
User_4354,-3.040807,-59.977383,2018-07-12,Tuesday,16,store,1531255689454
User_5203,-12.997444,-38.453065,2018-07-12,Tuesday,20,movie_theater,1531266426237
User_1820,-23.603777,-46.694356,2018-07-03,Wednesday,21,school,1531353937848
User_3397,-18.864359,-41.967616,2018-07-04,Wednesday,21,store,1531348124038
User_423,-23.182529,-45.885113,2018-07-05,Wednesday,16,store,1531335744730
User_4834,-23.682081,-46.657337,2018-07-05,Wednesday,19,doctor,1531347600935
User_3849,-15.828066,-48.012657,2018-07-05,Thursday,7,doctor,1531392064997
User_3388,-25.494106,-49.100169,2018-07-04,Thursday,8,restaurant,1531393518138
User_4959,-14.422756,-44.364885,2018-07-05,Thursday,7,restaurant,1531391655213
User_67,-22.818622,-43.293708,2018-07-05,Thursday,8,restaurant,1531393938287
User_2163,-1.452322,-48.500538,2018-07-03,Thursday,9,laundry,1531400140897
User_4281,-26.899548,-48.688702,2018-07-04,Thursday,10,restaurant,1531401537946
User_5960,-23.237345,-45.896933,2018-07-04,Thursday,10,university,1531401775860
User_5217,-20.141378,-44.893443,2018-07-04,Thursday,10,school,1531402637363
User_4521,-9.664809,-35.738631,2018-07-05,Wednesday,16,school,1531335885494
User_80,-29.62565,-51.137169,2018-07-05,Thursday,10,restaurant,1531403705528
User_271,-23.557972,-46.650676,2018-07-05,Wednesday,21,accounting,1531353991230
User_4985,-20.76178,-42.866731,2018-07-05,Wednesday,20,lodging,1531351803862
User_4888,-25.080941,-50.178894,2018-07-05,Wednesday,21,bank,1531355005441
User_4595,-7.793198,-35.587741,2018-07-05,Wednesday,21,car_dealer,1531354963852
User_2484,-22.969174,-43.41408,2018-07-05,Wednesday,21,doctor,1531354600501
User_5944,-3.786226,-38.62907,2018-07-04,Wednesday,21,grocery_or_supermarket,1531355942983
User_3858,-8.992971,-35.203268,2018-07-05,Wednesday,10,bakery,1531317043833
User_5505,-22.856068,-47.159691,2018-07-05,Thursday,0,furniture_store,1531365986479
User_4903,-22.913145,-47.063281,2018-07-05,Wednesday,11,beauty_salon,1531319519304
User_3352,-20.781397,-49.367865,2018-07-05,Thursday,8,bank,1531395699761
User_4098,-16.672075,-49.223082,2018-07-05,Wednesday,21,restaurant,1531353996630
User_5214,-5.667497,-37.801364,2018-07-02,Wednesday,21,pharmacy,1531354692858
User_5725,-19.918267,-43.938108,2018-07-02,Wednesday,13,pet_store,1531326159935
User_2756,-23.677731,-46.856321,2018-07-02,Wednesday,21,place_of_worship,1531355242800
User_2743,-22.892413,-47.026265,2018-07-02,Wednesday,21,store,1531355455058
User_1428,-15.608143,-56.057104,2018-07-02,Wednesday,20,gas_station,1531355934497
User_2255,-22.271221,-48.559614,2018-07-02,Wednesday,21,restaurant,1531356003776
User_4555,-4.751829,-40.830711,2018-07-02,Wednesday,21,bus_station,1531356126040
User_2983,-7.118953,-34.889984,2018-07-02,Wednesday,21,doctor,1531356509408
User_354,-23.634025,-46.686965,2018-07-02,Saturday,12,restaurant,1530975776492
User_3677,-9.737648,-36.677688,2018-07-02,Saturday,12,restaurant,1530975887732
User_5794,-22.885215,-47.08199,2018-07-02,Saturday,11,restaurant,1530974304264
User_5549,-16.684115,-49.35881,2018-07-02,Saturday,12,car_repair,1530976203055
User_1295,-2.572786,-44.2339,2018-07-02,Saturday,12,restaurant,1530976461160
User_2071,-15.848459,-48.040038,2018-07-02,Saturday,12,doctor,1530977546848
User_4903,-27.679481,-48.673436,2018-07-02,Saturday,13,pet_store,1530978387646
User_250,-3.042294,-60.008405,2018-07-02,Saturday,11,grocery_or_supermarket,1530976992883
User_5107,-23.583933,-46.603642,2018-07-02,Saturday,12,store,1530979116945
User_2324,-23.182815,-45.88321,2018-07-02,Saturday,12,restaurant,1530978043120
User_5513,-3.835712,-38.590887,2018-07-13,Saturday,13,hospital,1530979783762
User_5366,-20.701663,-47.01793,2018-07-13,Saturday,13,cafe,1530980147904
User_584,-23.536272,-46.46847,2018-07-13,Saturday,11,gym,1530975480826
User_348,-15.895362,-48.046554,2018-07-13,Saturday,12,restaurant,1530976673596
User_5438,-23.522459,-46.533568,2018-07-13,Saturday,12,florist,1530977274900
User_5300,-25.501083,-49.256112,2018-07-13,Saturday,12,moving_company,1530979188217
